RESIDENTIAL_UNITS,GROSS_SQUARE_FEET,BUILDING_AGE
3.0,8608.0,2.0
2.0,2000.0,74.0
2.0,1458.0,104.0
1.0,2468.0,114.0
2.0,1771.0,89.0
2.0,3004.0,123.0
1.0,749.0,69.0
1.0,1750.0,59.0
3.0,3100.0,123.0
2.0,2320.0,104.0
1.0,2307.0,3.0
1.0,1060.0,79.0
3.0,2100.0,125.0
2.0,1872.0,89.0
3.0,3232.0,114.0
6.0,3750.0,117.0
1.0,840.0,94.0
2.0,1540.0,84.0
1.0,1512.0,104.0
3.0,1460.0,114.0
2.0,2340.0,64.0
5.0,3600.0,125.0
3.0,4840.0,20.0
2.0,1584.0,89.0
3.0,3990.0,37.0
2.0,1608.0,125.0
2.0,2800.0,94.0
1.0,1656.0,99.0
2.0,3360.0,123.0
3.0,3800.0,123.0
1.0,1617.0,99.0
2.0,1152.0,104.0
2.0,2592.0,125.0
3.0,3600.0,125.0
2.0,1608.0,64.0
2.0,1575.0,125.0
1.0,2145.0,94.0
2.0,2700.0,114.0
1.0,2128.0,104.0
2.0,2980.0,123.0
3.0,2716.0,125.0
1.0,2133.0,99.0
1.0,1132.0,33.0
1.0,2891.0,114.0
2.0,1200.0,99.0
1.0,1304.0,74.0
3.0,3600.0,125.0
2.0,2456.0,99.0
3.0,2442.0,16.0
2.0,1775.0,104.0
2.0,2812.0,59.0
2.0,3300.0,99.0
3.0,3496.0,54.0
3.0,2250.0,123.0
1.0,666.0,104.0
8.0,6368.0,123.0
3.0,2938.0,2.0
1.0,1693.0,114.0
1.0,1408.0,104.0
2.0,2376.0,125.0
1.0,1240.0,99.0
1.0,2025.0,125.0
2.0,1600.0,125.0
1.0,1472.0,99.0
2.0,1712.0,114.0
1.0,1296.0,64.0
2.0,5625.0,35.0
1.0,1328.0,99.0
1.0,1404.0,94.0
3.0,2200.0,22.0
9.0,8022.0,124.0
4.0,2346.0,119.0
1.0,1460.0,114.0
3.0,3536.0,125.0
2.0,1863.0,79.0
2.0,2555.0,114.0
1.0,3038.0,119.0
20.0,17200.0,112.0
3.0,2716.0,64.0
3.0,3192.0,125.0
2.0,1260.0,114.0
4.0,3034.0,94.0
3.0,3273.0,22.0
1.0,1232.0,99.0
1.0,1500.0,104.0
2.0,2544.0,94.0
2.0,3300.0,123.0
1.0,1729.0,59.0
4.0,3224.0,109.0
2.0,1652.0,125.0
2.0,2400.0,114.0
1.0,1325.0,104.0
4.0,3213.0,93.0
1.0,1712.0,94.0
4.0,3680.0,99.0
2.0,2394.0,125.0
3.0,3420.0,93.0
2.0,3192.0,114.0
1.0,1683.0,104.0
1.0,1400.0,44.0
2.0,2940.0,59.0
4.0,4900.0,93.0
3.0,3483.0,125.0
2.0,4582.0,123.0
1.0,1312.0,99.0
1.0,1428.0,94.0
1.0,1092.0,99.0
4.0,3900.0,104.0
2.0,2560.0,59.0
8.0,8800.0,93.0
1.0,1729.0,59.0
4.0,3198.0,94.0
2.0,1654.0,109.0
2.0,2752.0,114.0
2.0,1312.0,104.0
2.0,1760.0,84.0
2.0,2416.0,104.0
1.0,1344.0,94.0
1.0,4000.0,104.0
2.0,1690.0,84.0
1.0,1789.0,89.0
3.0,3366.0,18.0
2.0,2320.0,99.0
1.0,1400.0,104.0
4.0,1904.0,93.0
1.0,2104.0,94.0
2.0,2000.0,28.0
4.0,2520.0,93.0
1.0,856.0,99.0
2.0,1400.0,79.0
1.0,1274.0,99.0
2.0,2223.0,64.0
2.0,2628.0,114.0
2.0,2160.0,94.0
1.0,1440.0,94.0
1.0,1116.0,39.0
3.0,3465.0,64.0
3.0,3291.0,54.0
3.0,3528.0,20.0
1.0,1000.0,123.0
1.0,3676.0,114.0
2.0,2080.0,123.0
3.0,3425.0,104.0
4.0,3360.0,99.0
2.0,3564.0,104.0
4.0,3000.0,109.0
2.0,4498.0,64.0
1.0,975.0,104.0
1.0,1680.0,104.0
3.0,2970.0,119.0
2.0,2661.0,114.0
2.0,1248.0,99.0
2.0,2536.0,59.0
7.0,6040.0,104.0
3.0,3300.0,24.0
6.0,4818.0,93.0
3.0,3744.0,15.0
8.0,10000.0,119.0
2.0,1800.0,125.0
2.0,2218.0,114.0
1.0,1166.0,104.0
6.0,4125.0,93.0
2.0,1809.0,94.0
2.0,1824.0,84.0
1.0,1596.0,123.0
2.0,1440.0,93.0
2.0,2990.0,64.0
3.0,1725.0,125.0
2.0,1786.0,104.0
1.0,1463.0,114.0
1.0,1724.0,104.0
2.0,2400.0,125.0
2.0,1760.0,64.0
2.0,1800.0,104.0
2.0,2424.0,99.0
2.0,1476.0,94.0
2.0,5725.0,123.0
1.0,1257.0,114.0
2.0,2968.0,125.0
1.0,2616.0,114.0
3.0,2673.0,125.0
1.0,1280.0,104.0
2.0,1961.0,84.0
1.0,988.0,99.0
2.0,2000.0,94.0
1.0,3036.0,114.0
2.0,3392.0,64.0
2.0,4032.0,125.0
1.0,1116.0,34.0
2.0,2480.0,99.0
1.0,1404.0,94.0
2.0,2260.0,64.0
1.0,1064.0,99.0
2.0,2916.0,99.0
1.0,1432.0,99.0
9.0,4553.0,118.0
3.0,1752.0,123.0
2.0,2118.0,99.0
2.0,2812.0,64.0
2.0,4437.0,125.0
4.0,3696.0,94.0
2.0,2880.0,123.0
17.0,20255.0,7.0
3.0,4662.0,99.0
2.0,2904.0,99.0
2.0,2420.0,123.0
2.0,3162.0,123.0
1.0,1500.0,99.0
1.0,1836.0,104.0
1.0,2470.0,114.0
1.0,1274.0,99.0
2.0,1856.0,99.0
1.0,1584.0,64.0
1.0,1430.0,99.0
2.0,2717.0,84.0
2.0,1695.0,123.0
2.0,3420.0,114.0
2.0,1496.0,84.0
2.0,3450.0,109.0
2.0,1616.0,94.0
2.0,1778.0,74.0
3.0,2322.0,99.0
2.0,2700.0,125.0
2.0,2683.0,114.0
2.0,2000.0,94.0
3.0,2190.0,114.0
7.0,6800.0,94.0
2.0,2113.0,74.0
2.0,2928.0,20.0
1.0,1896.0,74.0
2.0,2548.0,99.0
1.0,1232.0,104.0
2.0,2040.0,123.0
8.0,8640.0,104.0
1.0,1036.0,94.0
6.0,3600.0,104.0
2.0,2080.0,94.0
20.0,13320.0,117.0
1.0,2468.0,109.0
2.0,2128.0,104.0
2.0,2695.0,94.0
1.0,1278.0,94.0
2.0,2235.0,64.0
2.0,1537.0,59.0
1.0,820.0,99.0
2.0,1920.0,44.0
3.0,2558.0,89.0
2.0,1880.0,125.0
1.0,1272.0,99.0
1.0,2100.0,114.0
2.0,2000.0,99.0
2.0,1720.0,123.0
1.0,1377.0,74.0
1.0,1296.0,104.0
2.0,1707.0,123.0
3.0,3680.0,114.0
2.0,2320.0,104.0
3.0,2369.0,125.0
1.0,1456.0,109.0
2.0,1260.0,99.0
2.0,2310.0,94.0
1.0,1824.0,84.0
2.0,2825.0,164.0
3.0,2924.0,95.0
1.0,1296.0,64.0
2.0,2280.0,94.0
1.0,868.0,104.0
2.0,1600.0,99.0
2.0,3300.0,109.0
4.0,2646.0,124.0
2.0,2475.0,125.0
2.0,1736.0,99.0
2.0,2080.0,94.0
1.0,1680.0,16.0
3.0,2938.0,2.0
2.0,3024.0,125.0
8.0,2800.0,119.0
2.0,1728.0,114.0
2.0,2016.0,125.0
3.0,3392.0,123.0
2.0,2520.0,59.0
2.0,2079.0,84.0
1.0,1296.0,24.0
2.0,2160.0,84.0
2.0,2844.0,114.0
1.0,1148.0,104.0
4.0,3936.0,104.0
2.0,2705.0,114.0
4.0,3040.0,94.0
3.0,3123.0,19.0
1.0,1565.0,123.0
1.0,1132.0,34.0
1.0,1464.0,99.0
2.0,3300.0,125.0
2.0,2480.0,99.0
1.0,1224.0,99.0
4.0,3480.0,104.0
2.0,2020.0,104.0
3.0,3391.0,44.0
1.0,1116.0,35.0
2.0,3652.0,4.0
2.0,2850.0,99.0
2.0,2531.0,1.0
1.0,1032.0,123.0
1.0,1632.0,109.0
2.0,1320.0,123.0
1.0,1148.0,38.0
2.0,3042.0,74.0
1.0,3868.0,114.0
3.0,3200.0,123.0
2.0,3624.0,123.0
2.0,2448.0,114.0
1.0,3290.0,125.0
2.0,2140.0,114.0
4.0,4400.0,94.0
3.0,2565.0,114.0
2.0,2280.0,125.0
2.0,2048.0,5.0
2.0,1683.0,94.0
2.0,2040.0,123.0
2.0,2048.0,104.0
1.0,1352.0,99.0
4.0,5176.0,104.0
2.0,1960.0,94.0
2.0,1602.0,114.0
1.0,1694.0,74.0
2.0,2320.0,99.0
1.0,1312.0,99.0
2.0,2440.0,94.0
2.0,2700.0,114.0
4.0,3200.0,93.0
1.0,986.0,114.0
1.0,2216.0,104.0
1.0,1998.0,99.0
2.0,1872.0,89.0
2.0,2734.0,119.0
1.0,1040.0,104.0
3.0,3312.0,123.0
2.0,2100.0,84.0
3.0,3013.0,59.0
2.0,2288.0,125.0
1.0,960.0,99.0
1.0,1562.0,104.0
2.0,1575.0,74.0
1.0,1456.0,99.0
2.0,2556.0,94.0
3.0,2640.0,125.0
3.0,3168.0,18.0
1.0,826.0,104.0
1.0,1492.0,94.0
2.0,1012.0,123.0
2.0,2920.0,94.0
6.0,6006.0,117.0
1.0,1680.0,109.0
2.0,1872.0,69.0
1.0,1924.0,64.0
1.0,1320.0,94.0
2.0,3000.0,104.0
1.0,5000.0,104.0
4.0,2830.0,114.0
1.0,1370.0,94.0
3.0,2559.0,19.0
2.0,3600.0,123.0
1.0,2040.0,125.0
1.0,1216.0,104.0
1.0,1480.0,104.0
2.0,2490.0,125.0
2.0,2808.0,64.0
1.0,1520.0,114.0
1.0,1968.0,104.0
1.0,1671.0,84.0
1.0,1222.0,104.0
1.0,1440.0,99.0
1.0,1596.0,114.0
2.0,3464.0,125.0
1.0,1216.0,64.0
4.0,3129.0,99.0
1.0,1326.0,104.0
4.0,1687.0,119.0
2.0,3360.0,123.0
2.0,3498.0,123.0
2.0,1310.0,99.0
2.0,2000.0,89.0
2.0,1368.0,74.0
6.0,3000.0,119.0
3.0,3080.0,123.0
2.0,2000.0,94.0
1.0,1440.0,114.0
2.0,2769.0,94.0
2.0,3230.0,104.0
2.0,1784.0,114.0
1.0,608.0,6.0
2.0,2610.0,123.0
2.0,1888.0,114.0
1.0,1344.0,104.0
3.0,3404.0,94.0
3.0,2160.0,84.0
2.0,1797.0,84.0
2.0,2700.0,125.0
1.0,968.0,69.0
2.0,1944.0,125.0
1.0,1309.0,94.0
2.0,2840.0,104.0
2.0,1640.0,94.0
1.0,2080.0,104.0
2.0,3600.0,125.0
2.0,2048.0,114.0
2.0,1998.0,79.0
2.0,1944.0,31.0
2.0,1920.0,125.0
1.0,1076.0,99.0
4.0,3116.0,93.0
2.0,2940.0,94.0
3.0,3516.0,119.0
1.0,1728.0,104.0
2.0,2250.0,123.0
1.0,1408.0,99.0
1.0,4368.0,99.0
2.0,2652.0,8.0
2.0,3115.0,69.0
1.0,1314.0,28.0
1.0,1440.0,99.0
1.0,1456.0,94.0
1.0,1380.0,104.0
2.0,2125.0,114.0
1.0,1248.0,99.0
1.0,1960.0,89.0
2.0,1729.0,79.0
2.0,2152.0,64.0
1.0,1344.0,94.0
5.0,3105.0,104.0
2.0,1600.0,119.0
1.0,2846.0,114.0
3.0,3123.0,125.0
2.0,3032.0,109.0
2.0,1650.0,125.0
1.0,1920.0,125.0
20.0,14984.0,93.0
2.0,2970.0,125.0
2.0,2584.0,125.0
2.0,1800.0,104.0
2.0,2541.0,1.0
1.0,1688.0,99.0
2.0,1515.0,74.0
1.0,1512.0,99.0
3.0,3660.0,94.0
3.0,2820.0,123.0
4.0,3217.0,125.0
3.0,3200.0,119.0
2.0,2508.0,94.0
2.0,4884.0,59.0
1.0,2250.0,125.0
3.0,3400.0,84.0
2.0,2080.0,109.0
8.0,7800.0,93.0
2.0,3410.0,89.0
2.0,1760.0,104.0
2.0,2400.0,123.0
1.0,2840.0,59.0
2.0,2660.0,114.0
2.0,2200.0,54.0
1.0,1355.0,104.0
2.0,3360.0,125.0
1.0,1776.0,104.0
3.0,1840.0,89.0
2.0,4734.0,123.0
2.0,3570.0,119.0
1.0,1404.0,59.0
2.0,4440.0,125.0
2.0,1872.0,79.0
1.0,1045.0,99.0
1.0,1280.0,99.0
2.0,1500.0,114.0
3.0,2160.0,114.0
2.0,2080.0,114.0
1.0,1280.0,84.0
2.0,1980.0,99.0
2.0,2898.0,31.0
2.0,1971.0,104.0
2.0,2320.0,99.0
2.0,2920.0,21.0
4.0,2838.0,125.0
8.0,4500.0,93.0
3.0,2040.0,17.0
2.0,1848.0,74.0
2.0,2440.0,94.0
3.0,1976.0,114.0
1.0,1134.0,34.0
2.0,2535.0,114.0
1.0,2650.0,94.0
3.0,2768.0,109.0
3.0,4130.0,19.0
2.0,2544.0,94.0
1.0,1575.0,84.0
1.0,3200.0,123.0
3.0,2394.0,114.0
3.0,3040.0,19.0
1.0,1528.0,99.0
1.0,1128.0,99.0
4.0,3588.0,114.0
2.0,2000.0,104.0
2.0,2123.0,74.0
1.0,1960.0,99.0
2.0,2200.0,99.0
2.0,1656.0,125.0
2.0,2320.0,114.0
2.0,3100.0,54.0
2.0,1980.0,33.0
1.0,1200.0,99.0
2.0,1802.0,69.0
2.0,1512.0,123.0
3.0,3051.0,54.0
2.0,2000.0,94.0
1.0,1148.0,37.0
2.0,3360.0,123.0
1.0,1597.0,64.0
3.0,1924.0,18.0
1.0,2052.0,59.0
2.0,2122.0,19.0
3.0,2700.0,125.0
4.0,4125.0,104.0
2.0,2496.0,125.0
2.0,1322.0,94.0
1.0,1288.0,99.0
1.0,1923.0,94.0
2.0,2100.0,99.0
2.0,1936.0,125.0
1.0,1620.0,37.0
1.0,1830.0,79.0
2.0,2200.0,84.0
2.0,1500.0,114.0
1.0,1568.0,104.0
2.0,2001.0,114.0
2.0,2643.0,104.0
2.0,1600.0,99.0
3.0,3328.0,125.0
1.0,1041.0,104.0
1.0,1644.0,104.0
3.0,4152.0,99.0
20.0,17600.0,93.0
2.0,2400.0,99.0
2.0,2616.0,123.0
3.0,3360.0,125.0
1.0,1260.0,99.0
2.0,1768.0,104.0
1.0,868.0,104.0
2.0,2200.0,104.0
3.0,1776.0,94.0
2.0,1356.0,99.0
1.0,1568.0,94.0
2.0,1922.0,114.0
1.0,1400.0,109.0
2.0,3400.0,125.0
2.0,2153.0,44.0
2.0,2328.0,123.0
1.0,1424.0,125.0
6.0,6150.0,94.0
1.0,1473.0,84.0
21.0,14200.0,102.0
4.0,3280.0,93.0
3.0,3120.0,125.0
1.0,1520.0,99.0
4.0,3645.0,114.0
1.0,1120.0,104.0
2.0,4860.0,114.0
3.0,3300.0,114.0
2.0,3660.0,125.0
2.0,1720.0,79.0
1.0,1414.0,104.0
3.0,2955.0,125.0
1.0,1520.0,94.0
1.0,1344.0,99.0
2.0,2480.0,114.0
2.0,2212.0,109.0
1.0,1080.0,69.0
2.0,2970.0,64.0
1.0,1316.0,104.0
5.0,4300.0,94.0
2.0,2760.0,123.0
1.0,1064.0,99.0
2.0,3392.0,64.0
2.0,1197.0,99.0
2.0,1488.0,104.0
1.0,1574.0,94.0
2.0,1856.0,99.0
1.0,1761.0,79.0
2.0,1585.0,64.0
2.0,4116.0,99.0
1.0,1436.0,109.0
1.0,2466.0,125.0
2.0,2128.0,104.0
2.0,2532.0,104.0
1.0,1036.0,99.0
2.0,1110.0,99.0
1.0,1408.0,94.0
2.0,1788.0,74.0
4.0,2880.0,124.0
2.0,1914.0,17.0
2.0,1897.0,84.0
1.0,1428.0,99.0
6.0,4500.0,93.0
1.0,1312.0,104.0
1.0,1492.0,99.0
4.0,2993.0,94.0
2.0,2784.0,125.0
3.0,2175.0,104.0
2.0,2445.0,125.0
2.0,2055.0,84.0
2.0,2589.0,119.0
1.0,1440.0,125.0
2.0,2244.0,69.0
1.0,1274.0,104.0
2.0,2144.0,123.0
3.0,3600.0,123.0
1.0,1400.0,114.0
3.0,2442.0,16.0
3.0,2360.0,94.0
2.0,1188.0,84.0
3.0,3152.0,119.0
2.0,2080.0,119.0
1.0,1430.0,99.0
4.0,3520.0,98.0
2.0,2560.0,99.0
3.0,3600.0,17.0
4.0,3300.0,124.0
2.0,1702.0,94.0
1.0,1152.0,64.0
2.0,2124.0,123.0
2.0,1082.0,114.0
2.0,3066.0,89.0
2.0,2048.0,5.0
2.0,1440.0,114.0
1.0,1440.0,64.0
2.0,3160.0,24.0
3.0,2900.0,104.0
4.0,3120.0,93.0
3.0,1920.0,94.0
1.0,1022.0,104.0
1.0,1352.0,99.0
1.0,1208.0,99.0
1.0,1344.0,35.0
2.0,2080.0,20.0
2.0,1680.0,34.0
2.0,2534.0,99.0
7.0,8500.0,114.0
1.0,2640.0,119.0
2.0,1590.0,114.0
1.0,1630.0,13.0
2.0,2169.0,125.0
32.0,25956.0,94.0
1.0,2191.0,104.0
2.0,2430.0,99.0
2.0,1790.0,84.0
3.0,3000.0,123.0
10.0,3642.0,93.0
3.0,3027.0,123.0
3.0,2800.0,104.0
2.0,1310.0,109.0
2.0,2050.0,138.0
2.0,1496.0,104.0
1.0,1134.0,34.0
3.0,1024.0,79.0
2.0,2040.0,114.0
8.0,5915.0,125.0
2.0,2052.0,69.0
2.0,2364.0,125.0
1.0,810.0,114.0
3.0,2295.0,114.0
2.0,2040.0,114.0
3.0,3402.0,123.0
3.0,2560.0,114.0
2.0,2368.0,99.0
2.0,2520.0,125.0
3.0,3213.0,114.0
2.0,3412.0,94.0
2.0,1980.0,84.0
2.0,3000.0,109.0
1.0,1472.0,104.0
2.0,2022.0,114.0
4.0,3198.0,94.0
4.0,1838.0,124.0
2.0,1688.0,104.0
2.0,2310.0,94.0
2.0,2128.0,114.0
4.0,1880.0,93.0
3.0,1400.0,125.0
1.0,1400.0,125.0
2.0,1944.0,64.0
2.0,2040.0,94.0
2.0,4413.0,104.0
1.0,1200.0,104.0
3.0,2880.0,114.0
3.0,2850.0,114.0
3.0,4760.0,104.0
1.0,1088.0,64.0
2.0,2040.0,123.0
1.0,1092.0,94.0
8.0,9936.0,6.0
1.0,1584.0,99.0
2.0,1920.0,109.0
2.0,2700.0,119.0
2.0,2050.0,79.0
3.0,2120.0,104.0
2.0,2080.0,19.0
1.0,1828.0,125.0
1.0,1132.0,79.0
1.0,1888.0,84.0
2.0,2160.0,84.0
1.0,1601.0,69.0
25.0,18020.0,104.0
3.0,7169.0,1.0
2.0,2270.0,89.0
1.0,1116.0,74.0
1.0,852.0,99.0
2.0,2048.0,114.0
2.0,2058.0,69.0
3.0,3708.0,125.0
2.0,1860.0,99.0
6.0,6450.0,93.0
1.0,1188.0,99.0
1.0,1116.0,35.0
2.0,2270.0,23.0
1.0,1428.0,94.0
2.0,2600.0,94.0
2.0,2128.0,125.0
2.0,2163.0,104.0
2.0,2640.0,94.0
2.0,1400.0,114.0
4.0,3120.0,99.0
2.0,1520.0,104.0
1.0,1372.0,99.0
1.0,1116.0,38.0
8.0,6000.0,114.0
1.0,1672.0,125.0
6.0,3607.0,124.0
1.0,2148.0,89.0
2.0,1584.0,104.0
2.0,2492.0,94.0
1.0,1440.0,64.0
2.0,1928.0,123.0
2.0,1836.0,64.0
3.0,2040.0,84.0
1.0,1366.0,84.0
2.0,2120.0,114.0
2.0,2400.0,109.0
6.0,5250.0,94.0
1.0,1320.0,99.0
2.0,2058.0,119.0
6.0,5600.0,124.0
3.0,3212.0,84.0
1.0,1440.0,99.0
1.0,1392.0,74.0
2.0,1728.0,123.0
2.0,2950.0,20.0
1.0,1594.0,69.0
3.0,2589.0,114.0
2.0,2200.0,123.0
2.0,1540.0,69.0
1.0,1432.0,104.0
3.0,3285.0,125.0
2.0,3180.0,109.0
2.0,3500.0,104.0
2.0,2100.0,94.0
2.0,2160.0,123.0
2.0,2560.0,99.0
2.0,1628.0,64.0
2.0,2880.0,114.0
4.0,2052.0,93.0
3.0,3600.0,114.0
2.0,2108.0,114.0
1.0,2165.0,94.0
1.0,1312.0,99.0
1.0,1120.0,74.0
1.0,868.0,89.0
1.0,1224.0,94.0
2.0,2265.0,69.0
6.0,3750.0,93.0
1.0,2088.0,104.0
4.0,3696.0,93.0
1.0,1860.0,93.0
2.0,1785.0,123.0
6.0,4125.0,93.0
4.0,4968.0,93.0
2.0,1827.0,84.0
4.0,3480.0,96.0
2.0,1500.0,123.0
1.0,1120.0,84.0
3.0,3135.0,123.0
1.0,1925.0,99.0
2.0,2200.0,123.0
1.0,1795.0,79.0
2.0,1938.0,125.0
2.0,1938.0,94.0
2.0,1560.0,123.0
2.0,1976.0,104.0
2.0,1993.0,79.0
1.0,952.0,99.0
2.0,1428.0,125.0
1.0,1836.0,54.0
1.0,2000.0,104.0
2.0,1620.0,104.0
2.0,2560.0,114.0
1.0,3240.0,94.0
2.0,3420.0,114.0
2.0,2250.0,109.0
1.0,1224.0,64.0
1.0,704.0,94.0
3.0,2320.0,99.0
1.0,1422.0,104.0
2.0,3502.0,99.0
2.0,2585.0,99.0
8.0,6000.0,93.0
2.0,1400.0,109.0
2.0,2102.0,125.0
1.0,2016.0,69.0
2.0,1536.0,123.0
27.0,25836.0,104.0
1.0,1264.0,104.0
2.0,2700.0,104.0
1.0,2800.0,64.0
2.0,2024.0,119.0
1.0,1116.0,38.0
2.0,2832.0,119.0
2.0,2560.0,114.0
3.0,3432.0,109.0
3.0,2925.0,22.0
3.0,3430.0,59.0
2.0,1529.0,104.0
2.0,2138.0,104.0
1.0,2076.0,59.0
2.0,2400.0,49.0
1.0,1320.0,104.0
1.0,1120.0,94.0
1.0,2367.0,74.0
2.0,1672.0,74.0
1.0,1348.0,104.0
1.0,840.0,79.0
6.0,6006.0,117.0
2.0,2176.0,84.0
1.0,952.0,104.0
3.0,2556.0,104.0
1.0,2400.0,119.0
2.0,1586.0,99.0
1.0,2368.0,89.0
2.0,2880.0,29.0
1.0,1472.0,104.0
2.0,3135.0,114.0
3.0,2610.0,114.0
2.0,2120.0,94.0
1.0,1647.0,123.0
1.0,1400.0,104.0
4.0,4125.0,114.0
3.0,1785.0,123.0
1.0,1376.0,99.0
1.0,2884.0,123.0
1.0,589.0,104.0
2.0,2436.0,94.0
3.0,2008.0,94.0
1.0,3020.0,125.0
1.0,1216.0,59.0
2.0,2260.0,123.0
2.0,2250.0,123.0
2.0,2000.0,104.0
4.0,4200.0,119.0
4.0,2400.0,124.0
1.0,1340.0,37.0
2.0,1760.0,64.0
2.0,1812.0,114.0
2.0,3760.0,123.0
1.0,1850.0,123.0
2.0,1800.0,89.0
2.0,2580.0,125.0
2.0,2052.0,74.0
2.0,2320.0,99.0
6.0,3750.0,93.0
2.0,2293.0,114.0
1.0,1016.0,114.0
3.0,3120.0,114.0
1.0,1540.0,94.0
2.0,4016.0,125.0
1.0,1152.0,94.0
2.0,1516.0,109.0
2.0,1944.0,64.0
2.0,3145.0,19.0
2.0,2003.0,69.0
2.0,2180.0,114.0
2.0,1710.0,94.0
1.0,2400.0,6.0
2.0,1280.0,94.0
2.0,2136.0,99.0
1.0,1640.0,37.0
2.0,2560.0,94.0
3.0,2400.0,125.0
2.0,2280.0,64.0
2.0,2608.0,123.0
1.0,1352.0,94.0
4.0,3198.0,94.0
1.0,1500.0,109.0
4.0,3280.0,94.0
1.0,1530.0,24.0
8.0,8200.0,113.0
2.0,2160.0,94.0
8.0,11200.0,94.0
3.0,2740.0,89.0
2.0,1824.0,99.0
2.0,1900.0,94.0
3.0,2580.0,123.0
1.0,640.0,114.0
2.0,2046.0,123.0
3.0,2624.0,104.0
2.0,3300.0,99.0
2.0,2160.0,114.0
2.0,2436.0,104.0
1.0,1118.0,99.0
4.0,2779.0,124.0
1.0,840.0,99.0
1.0,1040.0,104.0
1.0,1378.0,94.0
3.0,3696.0,125.0
3.0,2880.0,104.0
1.0,1344.0,31.0
2.0,3360.0,123.0
5.0,3950.0,125.0
1.0,1511.0,104.0
2.0,2090.0,119.0
2.0,3000.0,74.0
1.0,2250.0,125.0
2.0,1849.0,123.0
2.0,2700.0,104.0
2.0,1840.0,64.0
7.0,4268.0,125.0
2.0,1760.0,64.0
2.0,1932.0,114.0
2.0,2440.0,104.0
2.0,1939.0,64.0
2.0,3824.0,125.0
1.0,5492.0,125.0
1.0,848.0,94.0
5.0,4247.0,104.0
3.0,3780.0,18.0
1.0,1316.0,94.0
1.0,1620.0,37.0
1.0,3328.0,93.0
4.0,2880.0,100.0
3.0,4320.0,20.0
1.0,1376.0,94.0
1.0,3299.0,9.0
1.0,2280.0,64.0
1.0,876.0,99.0
1.0,1280.0,99.0
2.0,2888.0,84.0
1.0,1400.0,89.0
1.0,816.0,104.0
2.0,3240.0,125.0
3.0,3135.0,114.0
3.0,3135.0,123.0
1.0,1552.0,99.0
1.0,1116.0,38.0
1.0,1643.0,84.0
1.0,1614.0,69.0
2.0,2144.0,123.0
2.0,4599.0,114.0
1.0,1326.0,99.0
2.0,2558.0,104.0
1.0,1440.0,104.0
2.0,3120.0,119.0
2.0,2096.0,114.0
6.0,5540.0,98.0
1.0,2896.0,104.0
2.0,1732.0,84.0
2.0,2472.0,125.0
2.0,1876.0,99.0
2.0,2224.0,119.0
2.0,2460.0,104.0
2.0,1600.0,109.0
2.0,5689.0,125.0
2.0,1862.0,94.0
1.0,1080.0,64.0
1.0,3102.0,8.0
1.0,5030.0,145.0
1.0,1078.0,94.0
1.0,1300.0,114.0
2.0,1848.0,89.0
3.0,3822.0,124.0
2.0,3900.0,99.0
2.0,3360.0,125.0
3.0,2640.0,84.0
1.0,2174.0,99.0
3.0,2500.0,123.0
1.0,1600.0,99.0
1.0,980.0,104.0
2.0,2080.0,104.0
1.0,1125.0,99.0
2.0,1914.0,74.0
3.0,5497.0,114.0
3.0,2700.0,29.0
3.0,2268.0,123.0
3.0,3168.0,54.0
2.0,2100.0,84.0
2.0,1791.0,114.0
1.0,1280.0,104.0
1.0,1024.0,94.0
3.0,3318.0,119.0
1.0,1673.0,84.0
2.0,2844.0,114.0
3.0,3776.0,93.0
1.0,1116.0,38.0
1.0,1336.0,94.0
3.0,2775.0,18.0
3.0,3375.0,94.0
2.0,2224.0,114.0
1.0,4500.0,89.0
1.0,1624.0,94.0
1.0,1224.0,89.0
3.0,3150.0,114.0
1.0,1440.0,114.0
1.0,1870.0,54.0
1.0,1778.0,99.0
1.0,2880.0,104.0
1.0,1116.0,37.0
1.0,2700.0,123.0
1.0,952.0,114.0
3.0,2680.0,99.0
3.0,2700.0,125.0
2.0,3600.0,198.0
4.0,2520.0,94.0
1.0,969.0,104.0
4.0,3712.0,93.0
1.0,1116.0,34.0
2.0,2120.0,114.0
4.0,3206.0,94.0
4.0,2800.0,93.0
2.0,2304.0,64.0
3.0,7488.0,64.0
4.0,3198.0,104.0
2.0,2970.0,119.0
1.0,1008.0,99.0
2.0,1764.0,123.0
4.0,3213.0,94.0
2.0,1260.0,104.0
6.0,2636.0,114.0
3.0,2790.0,99.0
2.0,2604.0,14.0
2.0,2600.0,94.0
3.0,2320.0,99.0
1.0,1088.0,74.0
2.0,2472.0,125.0
2.0,1462.0,114.0
1.0,1432.0,104.0
2.0,1360.0,104.0
2.0,1848.0,94.0
2.0,2600.0,99.0
2.0,1946.0,99.0
3.0,2700.0,20.0
1.0,1772.0,104.0
1.0,1292.0,99.0
3.0,2768.0,119.0
2.0,2670.0,99.0
2.0,3112.0,195.0
2.0,2400.0,104.0
1.0,2606.0,99.0
2.0,2600.0,99.0
1.0,1624.0,109.0
2.0,3200.0,123.0
2.0,1404.0,125.0
1.0,1730.0,114.0
4.0,2565.0,93.0
1.0,2150.0,99.0
2.0,1610.0,69.0
2.0,2196.0,104.0
1.0,4624.0,114.0
3.0,2968.0,64.0
6.0,4200.0,93.0
1.0,1176.0,94.0
1.0,1152.0,109.0
1.0,975.0,104.0
